id_cliente,idade,renda_mensal,score_credito,valor_imovel,prazo_contrato_meses,valor_financiado,inadimplente
1,59,"R$13.921,40",548,"R$463.771,95",360,"R$255.471,75",0
2,49,"R$6.939,90",825,"R$444.990,02",360,"R$194.613,60",0
3,35,"R$7.116,43",761,"R$489.861,78",300,"R$305.831,89",0
4,63,"R$2.933,34",312,"R$263.163,69",300,"R$173.892,50",1
5,28,"R$9.427,98",683,"R$419.948,53",120,"R$307.163,49",0
6,41,"R$8.938,13",698,"R$391.905,18",300,"R$210.730,60",0
7,59,"R$6.592,52",318,"R$407.890,28",180,"R$325.180,35",0
8,39,"R$7.795,37",790,"R$353.862,78",240,"R$279.549,14",0
9,43,"R$4.721,95",718,"R$452.048,78",180,"R$335.005,83",1
10,31,"R$10.996,11",636,"R$318.207,20",300,"R$186.925,97",0
11,31,"R$6.775,75",718,"R$346.614,51",360,"R$172.961,76",0
12,44,"R$15.735,12",421,"R$334.612,01",180,"R$161.347,62",0
13,56,"R$7.561,00",731,"R$486.394,66",360,"R$148.867,10",0
14,60,"R$6.100,95",343,"R$398.827,65",180,"R$169.337,13",0
15,44,"R$6.969,22",616,"R$353.916,77",360,"R$233.374,18",0
16,23,"R$4.470,10",680,"R$362.657,03",180,"R$218.252,82",0
17,42,"R$9.205,68",444,"R$400.388,06",360,"R$303.578,67",0
18,22,"R$6.950,25",626,"R$562.217,49",240,"R$182.726,94",0
19,44,"R$10.828,13",662,"R$276.347,97",120,"R$104.359,58",0
20,64,"R$7.313,13",349,"R$467.551,00",180,"R$324.771,16",0
21,50,"R$11.461,11",364,"R$447.186,23",240,"R$214.315,71",0
22,58,"R$9.893,64",654,"R$311.703,46",120,"R$111.955,36",0
23,22,"R$8.071,49",463,"R$546.687,33",180,"R$436.379,63",1
24,41,"R$11.950,58",440,"R$453.928,05",240,"R$314.855,91",0
25,53,"R$10.380,73",427,"R$349.226,67",240,"R$176.139,64",0
26,32,"R$15.365,53",697,"R$214.058,67",240,"R$152.339,93",0
27,42,"R$6.976,36",762,"R$422.914,68",300,"R$270.793,09",0
28,64,"R$8.191,54",486,"R$395.525,44",360,"R$274.885,19",0
29,45,"R$11.921,77",489,"R$296.928,71",120,"R$210.107,70",0
30,69,"R$4.141,16",687,"R$295.638,56",360,"R$101.216,10",1
31,47,"R$11.292,36",728,"R$486.850,99",360,"R$297.702,78",0
32,62,"R$9.098,26",583,"R$204.430,51",360,"R$62.022,74",0
33,48,"R$5.779,47",536,"R$431.428,28",240,"R$138.802,61",0
34,36,"R$4.592,40",493,"R$381.256,30",360,"R$286.700,93",1
35,35,"R$6.318,78",586,"R$449.715,48",300,"R$253.541,43",0
36,67,"R$2.287,95",435,"R$370.569,50",180,"R$247.522,27",0
37,64,"R$6.776,15",470,"R$429.327,50",240,"R$308.794,02",0
38,23,"R$9.556,39",458,"R$325.722,52",120,"R$252.367,65",0
39,57,"R$6.809,25",500,"R$395.079,51",180,"R$290.255,60",0
40,27,"R$11.470,78",786,"R$448.908,39",180,"R$243.153,80",0
41,41,"R$12.149,87",803,"R$415.087,19",180,"R$194.254,64",0
42,29,"R$11.189,11",670,"R$438.030,68",360,"R$165.245,59",0
43,59,"R$8.576,60",402,"R$307.207,87",360,"R$153.653,32",0
44,38,"R$2.188,30",424,"R$340.932,54",240,"R$164.754,56",0
45,24,"R$6.240,76",612,"R$342.666,02",360,"R$198.673,45",0
46,45,"R$7.644,90",757,"R$372.351,02",360,"R$235.606,86",0
47,34,"R$5.765,33",529,"R$535.858,29",360,"R$422.879,40",0
48,29,"R$7.651,24",496,"R$364.582,12",240,"R$242.152,93",0
49,46,"R$12.025,17",722,"R$285.644,05",240,"R$177.634,68",0
50,22,"R$3.885,56",470,"R$454.164,57",300,"R$212.342,93",0
51,40,"R$12.529,23",681,"R$534.664,34",300,"R$169.623,30",0
52,48,"R$10.211,82",472,"R$273.878,81",300,"R$121.619,33",0
53,67,"R$8.670,54",752,"R$597.281,08",300,"R$408.674,02",0
54,27,"R$6.215,96",649,"R$441.517,66",180,"R$177.770,89",0
55,64,"R$5.815,12",793,"R$503.389,08",180,"R$330.270,60",0
56,28,"R$3.934,46",303,"R$546.707,16",300,"R$322.497,04",1
